Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,3863,3863,Taungtha,MMR010018
 Rural,158,45831,45989,Taungtha,MMR010018
 Total,158,49694,49852,Taungtha,MMR010018
