Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,85,85,Mawhtike(ST),MMR015023
 Rural,1,4117,4118,Mawhtike(ST),MMR015023
 Total,1,4202,4203,Mawhtike(ST),MMR015023
