Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,18,3332,3350,Thandwe,MMR012015
 Rural,1397,26328,27725,Thandwe,MMR012015
 Total,1415,29660,31075,Thandwe,MMR012015
