Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,108,725,833,Ngayokaung(ST),MMR017004
 Rural,749,8619,9368,Ngayokaung(ST),MMR017004
 Total,857,9344,10201,Ngayokaung(ST),MMR017004
