Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,602,602,Kyauktalongyi(ST),MMR014001
 Rural,144,11519,11663,Kyauktalongyi(ST),MMR014001
 Total,144,12121,12265,Kyauktalongyi(ST),MMR014001
