Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,3,466,469,Panwine,MMR015007
 Rural,35,13465,13500,Panwine,MMR015007
 Total,38,13931,13969,Panwine,MMR015007
