Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,109,1106,1215,Maei(ST),MMR012016
 Rural,890,7848,8738,Maei(ST),MMR012016
 Total,999,8954,9953,Maei(ST),MMR012016
