Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,139,9725,9864,Kyauktan,MMR013024
 Rural,950,22162,23112,Kyauktan,MMR013024
 Total,1089,31887,32976,Kyauktan,MMR013024
