Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,14,2048,2062,Buthidaung,MMR012010
 Rural,114,9088,9202,Buthidaung,MMR012010
 Total,128,11136,11264,Buthidaung,MMR012010
