Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,5,34094,34099,Lashio,MMR015001
 Rural,12,30821,30833,Lashio,MMR015001
 Total,17,64915,64932,Lashio,MMR015001
