Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,120,5297,5417,Kyaiklatt,MMR017025
 Rural,6152,32179,38331,Kyaiklatt,MMR017025
 Total,6272,37476,43748,Kyaiklatt,MMR017025
