Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,6,772,778,Khawzar,MMR011006
 Rural,98,3942,4040,Khawzar,MMR011006
 Total,104,4714,4818,Khawzar,MMR011006
