Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,81,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,-,315,315,ManKan(ST),MMR015005
