Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,1470,1470,Mineye`,MMR015003
 Rural,34,11824,11858,Mineye`,MMR015003
 Total,34,13294,13328,Mineye`,MMR015003
