Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,68,25263,25331,Dala,MMR013030
 Rural,587,11994,12581,Dala,MMR013030
 Total,655,37257,37912,Dala,MMR013030
