Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,201,49533,49734,Mawlamyine,MMR011001
 Rural,689,7034,7723,Mawlamyine,MMR011001
 Total,890,56567,57457,Mawlamyine,MMR011001
