Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,20,43855,43875,Pyigyidagun,MMR010005
 Total,20,43855,43875,Pyigyidagun,MMR010005
