Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,12,16618,16630,Amarapura,MMR010006
 Rural,99,32897,32996,Amarapura,MMR010006
 Total,111,49515,49626,Amarapura,MMR010006
