Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,12,23951,23963,Meiktila,MMR010028
 Rural,18,44458,44476,Meiktila,MMR010028
 Total,30,68409,68439,Meiktila,MMR010028
