Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,2218,2219,Mongkai,MMR014016
 Rural,2,14111,14113,Mongkai,MMR014016
 Total,3,16329,16332,Mongkai,MMR014016
