Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,135,3431,3566,Daydaye,MMR017026
 Rural,7919,37125,45044,Daydaye,MMR017026
 Total,8054,40556,48610,Daydaye,MMR017026
