Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,67,67,Makman,MMR015024
 Rural,5,3246,3251,Makman,MMR015024
 Total,5,3313,3318,Makman,MMR015024
