Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,1743,1744,Chaungzon,MMR011003
 Rural,736,25464,26200,Chaungzon,MMR011003
 Total,737,27207,27944,Chaungzon,MMR011003
