Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,1559,1561,Minesat,MMR016006
 Rural,40,14308,14348,Minesat,MMR016006
 Total,42,15867,15909,Minesat,MMR016006
