Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,3376,3378,Hopan,MMR015021
 Rural,16,6637,6653,Hopan,MMR015021
 Total,18,10013,10031,Hopan,MMR015021
