Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,1322,1323,Minephyat,MMR016010
 Rural,-,4842,4842,Minephyat,MMR016010
 Total,1,6164,6165,Minephyat,MMR016010
