Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,101,20258,20359,Taikkyi,MMR013005
 Rural,728,45912,46640,Taikkyi,MMR013005
 Total,829,66170,66999,Taikkyi,MMR013005
