Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,16684,16686,Mogok,MMR010011
 Rural,1,18560,18561,Mogok,MMR010011
 Total,3,35244,35247,Mogok,MMR010011
