Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,2259,2259,Pindaya,MMR014006
 Rural,2,15283,15285,Pindaya,MMR014006
 Total,2,17542,17544,Pindaya,MMR014006
