Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,346,346,Manhero(ST),MMR015009
 Rural,2,1295,1297,Manhero(ST),MMR015009
 Total,2,1641,1643,Manhero(ST),MMR015009
