Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,49,9466,9515,Nyaung U,MMR010022
 Rural,234,34913,35147,Nyaung U,MMR010022
 Total,283,44379,44662,Nyaung U,MMR010022
