Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,9144,9146,Tatkon,MMR018003
 Rural,14,42587,42601,Tatkon,MMR018003
 Total,16,51731,51747,Tatkon,MMR018003
