Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,1189,1190,Mineyaung,MMR016011
 Rural,1,5138,5139,Mineyaung,MMR016011
 Total,2,6327,6329,Mineyaung,MMR016011
