Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,109,5196,5305,Wakema,MMR017017
 Rural,6608,55535,62143,Wakema,MMR017017
 Total,6717,60731,67448,Wakema,MMR017017
