Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,35,7843,7878,Khayan,MMR013026
 Rural,792,30644,31436,Khayan,MMR013026
 Total,827,38487,39314,Khayan,MMR013026
