Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,194,194,Kongyan,MMR015023
 Rural,-,5268,5268,Kongyan,MMR015023
 Total,-,5462,5462,Kongyan,MMR015023
