Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,3,2699,2702,Patheingyi,MMR010007
 Rural,697,49591,50288,Patheingyi,MMR010007
 Total,700,52290,52990,Patheingyi,MMR010007
