Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,5325,5327,Yame`thin,MMR010023
 Rural,18,51914,51932,Yame`thin,MMR010023
 Total,20,57239,57259,Yame`thin,MMR010023
