Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,158,158,Taungpyoletwe(ST),MMR012009
 Rural,-,348,348,Taungpyoletwe(ST),MMR012009
 Total,-,506,506,Taungpyoletwe(ST),MMR012009
