Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,1191,1192,Maukme`,MMR014020
 Rural,-,6002,6002,Maukme`,MMR014020
 Total,1,7193,7194,Maukme`,MMR014020
