Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,44,56604,56648,Taunggyi,MMR014001
 Rural,7,25949,25956,Taunggyi,MMR014001
 Total,51,82553,82604,Taunggyi,MMR014001
