Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,8653,8653,Kyukme,MMR015012
 Rural,12,19706,19718,Kyukme,MMR015012
 Total,12,28359,28371,Kyukme,MMR015012
