Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,109,18797,18906,Sittway,MMR012001
 Rural,291,9839,10130,Sittway,MMR012001
 Total,400,28636,29036,Sittway,MMR012001
