Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,22,3987,4009,Hsipaw,MMR015014
 Rural,104,33793,33897,Hsipaw,MMR015014
 Total,126,37780,37906,Hsipaw,MMR015014
