Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,4171,4171,Naungkhio,MMR015013
 Rural,77,27976,28053,Naungkhio,MMR015013
 Total,77,32147,32224,Naungkhio,MMR015013
