Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,10,221,231,Mineyu(ST),MMR016011
 Rural,47,10589,10636,Mineyu(ST),MMR016011
 Total,57,10810,10867,Mineyu(ST),MMR016011
