Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,60,52987,53047,Chanmyatharzi,MMR010004
 Total,60,52987,53047,Chanmyatharzi,MMR010004
