Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,144,1044,1188,Thabeikkyin,MMR010012
 Rural,464,24097,24561,Thabeikkyin,MMR010012
 Total,608,25141,25749,Thabeikkyin,MMR010012
