Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,37,42667,42704,Dagon Myothit(North),MMR013019
 Total,37,42667,42704,Dagon Myothit(North),MMR013019
