Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,58,5199,5257,Zalun,MMR017009
 Rural,1009,35807,36816,Zalun,MMR017009
 Total,1067,41006,42073,Zalun,MMR017009
