Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,28,5278,5306,Kyangin,MMR017012
 Rural,155,21396,21551,Kyangin,MMR017012
 Total,183,26674,26857,Kyangin,MMR017012
