Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,38,2636,2674,Kangyidaunt,MMR017002
 Rural,2299,37993,40292,Kangyidaunt,MMR017002
 Total,2337,40629,42966,Kangyidaunt,MMR017002
