Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,15,1863,1878,An,MMR012014
 Rural,1666,23815,25481,An,MMR012014
 Total,1681,25678,27359,An,MMR012014
