Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,35,1697,1732,Sinku,MMR010010
 Rural,1493,31308,32801,Sinku,MMR010010
 Total,1528,33005,34533,Sinku,MMR010010
