Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,157,3801,3958,Kungyangon,MMR013029
 Rural,1353,23041,24394,Kungyangon,MMR013029
 Total,1510,26842,28352,Kungyangon,MMR013029
