Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,71,2399,2470,Pauktaw,MMR012007
 Rural,2309,25765,28074,Pauktaw,MMR012007
 Total,2380,28164,30544,Pauktaw,MMR012007
