Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,4535,4536,Hopon,MMR014003
 Rural,38,20154,20192,Hopon,MMR014003
 Total,39,24689,24728,Hopon,MMR014003
