Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,119,2940,3059,Nyaungshwe,MMR014002
 Rural,5222,34353,39575,Nyaungshwe,MMR014002
 Total,5341,37293,42634,Nyaungshwe,MMR014002
