Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,4682,4683,Kukai,MMR015011
 Rural,4,14344,14348,Kukai,MMR015011
 Total,5,19026,19031,Kukai,MMR015011
