Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,72,2603,2675,Ngwehsaung(ST),MMR017001
 Rural,240,6555,6795,Ngwehsaung(ST),MMR017001
 Total,312,9158,9470,Ngwehsaung(ST),MMR017001
