Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,92,5957,6049,Myanaung,MMR017011
 Rural,367,53504,53871,Myanaung,MMR017011
 Total,459,59461,59920,Myanaung,MMR017011
