Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,108,2510,2618,Myebon,MMR012006
 Rural,4382,24339,28721,Myebon,MMR012006
 Total,4490,26849,31339,Myebon,MMR012006
