Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,752,752,Minenaung(ST),MMR014015
 Rural,7,5052,5059,Minenaung(ST),MMR014015
 Total,7,5804,5811,Minenaung(ST),MMR014015
