Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,1780,1780,Singaing,MMR010014
 Rural,48,31751,31799,Singaing,MMR010014
 Total,48,33531,33579,Singaing,MMR010014
